9.528,-6.788,-2.7,6.91,0,-7.49,9.604,-7.195,-5.13,-3.226,1.502,-2.498,-0.01,-9.815,-5.83,0.368,102.547
-8.361,0,0,0,-5.219,7.717,5.744,8.959,-6.506,4.413,8.537,1.146,-7.339,-1.708,1.525,8.683,124.454
-5.976,-7.28,-7.04,-7.418,-6.068,-5.083,3.874,-4.372,-3.919,0,4.463,-1.17,9.278,8.426,0,0,-111.25
0,0.025,0,-1.445,0,4.46,0,0,0,1.537,9.494,6.876,0,-3.851,2.057,-1.949,18.585
-7.527,0.904,6.597,8.791,9.192,5.304,-9.666,-2.238,-3.093,0,7.504,-5.664,4.644,-2.028,-7.159,-5.662,47.843
0,-8.239,-9.843,4.869,6.381,0,-6.958,4.2,3.853,-3.246,5.286,3.346,-9.976,9.895,5.509,-7.647,147.79
-4.113,0.225,6.994,5.693,0,-6.335,0,-9.409,0,6.964,-2.879,-7.91,-2.228,-5.811,1.777,0,-6.037
3.566,0,0,1.776,5.222,-7.924,0,-5.103,-9.367,1.845,0,0,-1.212,2.102,-4.46,0,18.222
7.212,-7.043,-1.213,0,0,-7.879,4.92,-1.629,6.904,-7.007,-7.07,4.27,0,-2.128,-9.99,-2.579,-1.219
-3.893,0,-1.957,-5.07,-3.733,1.7,1.199,-0.607,-7.812,0.42,4.88,7.913,-1.68,0,-0.82,0,1.521
-5.069,3.296,2.586,-8.861,-3.343,-3.702,-5.627,2.597,8.313,6.466,0.972,-0.802,3.849,0.496,-7.976,8.275,-42.107
-7.407,-3.094,0,0,2.146,0,2.813,-4.569,3.81,7.713,0,0,-7.328,3.599,7.763,-9.082,-75.842
-4.562,-0.337,-0.637,0.544,4.303,-7.821,9.551,0,-1.533,-6.931,6.707,9.054,0,-2.138,0,1.022,-120.375
0,6.197,6.19,8.039,-9.791,3.917,0,2.025,-8.412,0,0,1.383,0,-4.566,0,2.824,97.081
-4.622,0,9.603,-3.88,-5.739,7.892,9.223,5.218,-7.972,3.727,0,8.436,-5.032,6.98,0,3.127,-56.714
9.142,-2.509,-6.425,4.814,-6.38,0,1.068,-1.945,2.658,-2.6,7.409,-4.509,0,-2.332,5.358,4.45,112.805
